"","iso_code","continent","location","year","month","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","tests_per_case","positive_rate","tests_units","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index"
"20765","JEY","Europe","Jersey",2020,7,27,332,0,0.143,31,0,0,3284.755,0,1.413,306.709,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,101073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2681","AZE","Asia","Azerbaijan",2020,3,18,28,9,2.429,0,0,0,2.762,0.888,0.24,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",52.78,10139175,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.757
"35779","SOM","Africa","Somalia",2020,5,6,835,79,43.857,38,3,1.429,52.538,4.971,2.759,2.391,0.189,0.09,NA,NA,NA,NA,NA,NA,NA,NA,"",60.19,15893219,23.5,16.8,2.731,1.496,NA,NA,365.769,6.05,NA,NA,9.831,0.9,57.4,NA
"22233","KNA","North America","Saint Kitts and Nevis",2020,8,22,17,0,0,0,0,0,319.597,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,53192,212.865,NA,NA,NA,24654.385,NA,NA,12.84,NA,NA,NA,2.3,76.23,0.778
"37216","SWE","Europe","Sweden",2020,8,6,78200,425,260.571,5775,3,2.286,7743.134,42.082,25.801,571.824,0.297,0.226,7674,NA,NA,0.76,7628,0.755,29.274,0.034,"samples tested",37.04,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,NA,2.22,82.8,0.933
"17096","GUM","Oceania","Guam",2020,6,21,222,22,5.286,5,0,0,1315.298,130.345,31.317,29.624,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",63.89,168783,304.128,31.4,9.551,5.493,NA,NA,310.496,21.52,NA,NA,NA,NA,80.07,NA
"16477","GRD","North America","Grenada",2020,4,6,12,0,0.429,0,0,0,106.649,0,3.809,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,112519,317.132,29.4,7.304,5.021,13593.877,NA,243.964,10.71,NA,NA,NA,3.7,72.4,0.772
"29704","NIC","North America","Nicaragua",2020,5,21,25,0,0,8,0,0,3.774,0,0,1.208,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",11.11,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,NA,NA,NA,0.9,74.48,0.658
"18564","IMN","Europe","Isle of Man",2020,7,4,336,0,0,24,0,0,3951.454,0,0,282.247,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,85032,147.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.4,NA
"28858","NAM","Africa","Namibia",2020,3,31,11,0,1.143,0,0,0,4.329,0,0.45,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",66.67,2540916,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,NA,63.71,0.647
"19819","ISL","Europe","Iceland",2020,5,25,1804,0,0.286,10,0,0,5286.447,0,0.837,29.304,0,0,231,59046,173.029,0.677,271,0.794,948.5,0.001,"tests performed",36.11,341250,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,NA,2.91,82.99,0.935
"30782","NZL","Oceania","New Zealand",2020,7,2,1180,2,1.571,22,0,0,244.7,0.415,0.326,4.562,0,0,3703,409032,84.822,0.768,4396,0.912,2797.455,0,"tests performed",22.22,4822233,18.206,37.9,15.322,9.72,36085.843,NA,128.797,8.08,14.8,17.2,NA,2.61,82.29,0.917
"40880","USA","North America","United States",2020,8,1,4562037,67023,64215.429,153314,1244,1109.714,13782.479,202.485,194.003,463.181,3.758,3.353,771677,64194489,193.94,2.331,830009,2.508,12.925,0.077,"tests performed",67.13,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,NA,2.77,78.86,0.924
"21089","JPN","Asia","Japan",2020,3,22,1046,39,38,36,1,2,8.27,0.308,0.3,0.285,0.008,0.016,NA,NA,NA,NA,1422,0.011,37.421,0.027,"tests performed",40.74,126476458,347.778,48.2,27.049,18.493,39002.223,NA,79.37,5.72,11.2,33.7,NA,13.05,84.63,0.909
"25183","MAR","Africa","Morocco",2020,7,3,12969,333,233,229,1,1.714,351.363,9.022,6.313,6.204,0.027,0.046,16641,732494,19.845,0.451,16008,0.434,68.704,0.015,"people tested",64.81,36910558,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,NA,1.1,76.68,0.667
"32565","PRI","North America","Puerto Rico",2020,9,14,37380,288,406.714,539,4,8.857,13066.092,100.67,142.166,188.406,1.398,3.096,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,2860840,376.232,38.2,15.168,9.829,35044.67,NA,108.094,12.9,NA,NA,NA,NA,80.1,NA
"4876","BLR","Europe","Belarus",2020,2,11,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"",0,9449321,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.808
